iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2003 1 0 0 -999 -999 -999 -999 -999 7.757 63.508 17.527 98.742 0.0 0.0 -999 333.999 -999 -999 -999 -999 -999 -999 -999
2003 1 0 30 -999 -999 -999 -999 -999 7.589 62.803 16.453 98.751 0.0 0.0 -999 320.199 -999 -999 -999 -999 -999 -999 -999
2003 1 1 0 -999 -999 -999 -999 -999 7.42 61.704 15.378 98.759 0.0 0.0 -999 306.398 -999 -999 -999 -999 -999 -999 -999
2003 1 1 30 -999 -999 -999 -999 -999 7.486 62.479 15.204 98.756 0.0 0.0 -999 302.018 -999 -999 -999 -999 -999 -999 -999
2003 1 2 0 -999 -999 -999 -999 -999 7.552 63.265 15.03 98.754 0.0 0.0 -999 297.638 -999 -999 -999 -999 -999 -999 -999
2003 1 2 30 -999 -999 -999 -999 -999 7.758 63.526 14.961 98.763 0.0 0.0 -999 295.637 -999 -999 -999 -999 -999 -999 -999
2003 1 3 0 -999 -999 -999 -999 -999 7.963 63.789 14.892 98.773 0.0 0.0 -999 293.635 -999 -999 -999 -999 -999 -999 -999
2003 1 3 30 -999 -999 -999 -999 -999 8.07 65.677 14.217 98.801 0.0 0.0 -999 292.775 -999 -999 -999 -999 -999 -999 -999
2003 1 4 0 -999 -999 -999 -999 -999 8.176 67.619 13.543 98.829 0.0 0.0 -999 291.914 -999 -999 -999 -999 -999 -999 -999
2003 1 4 30 -999 -999 -999 -999 -999 8.25 68.456 13.418 98.861 0.0 0.0 -999 290.593 -999 -999 -999 -999 -999 -999 -999
2003 1 5 0 -999 -999 -999 -999 -999 8.325 69.303 13.293 98.893 0.0 0.0 -999 289.272 -999 -999 -999 -999 -999 -999 -999
2003 1 5 30 -999 -999 -999 -999 -999 8.185 69.242 13.406 98.913 0.0 23.416 -999 292.461 -999 -999 -999 -999 -999 -999 -999
2003 1 6 0 -999 -999 -999 -999 -999 8.046 69.178 13.519 98.932 0.0 46.832 -999 295.65 -999 -999 -999 -999 -999 -999 -999
2003 1 6 30 -999 -999 -999 -999 -999 8.716 69.347 13.658 98.956 0.0 124.719 -999 296.634 -999 -999 -999 -999 -999 -999 -999
2003 1 7 0 -999 -999 -999 -999 -999 9.387 69.507 13.798 98.979 0.0 202.606 -999 297.618 -999 -999 -999 -999 -999 -999 -999
2003 1 7 30 -999 -999 -999 -999 -999 9.493 65.076 15.139 99.012 0.0 273.714 -999 308.397 -999 -999 -999 -999 -999 -999 -999
2003 1 8 0 -999 -999 -999 -999 -999 9.598 60.946 16.48 99.045 0.0 344.822 -999 319.175 -999 -999 -999 -999 -999 -999 -999
2003 1 8 30 -999 -999 -999 -999 -999 9.32 61.733 16.425 99.042 0.021 358.722 -999 340.501 -999 -999 -999 -999 -999 -999 -999
2003 1 9 0 -999 -999 -999 -999 -999 9.041 62.524 16.37 99.04 0.041 372.623 -999 361.827 -999 -999 -999 -999 -999 -999 -999
2003 1 9 30 -999 -999 -999 -999 -999 9.422 61.077 16.827 99.044 0.057 370.343 -999 358.256 -999 -999 -999 -999 -999 -999 -999
2003 1 10 0 -999 -999 -999 -999 -999 9.802 59.666 17.284 99.048 0.073 368.063 -999 354.685 -999 -999 -999 -999 -999 -999 -999
2003 1 10 30 -999 -999 -999 -999 -999 9.789 57.457 17.71 99.066 0.074 439.748 -999 348.558 -999 -999 -999 -999 -999 -999 -999
2003 1 11 0 -999 -999 -999 -999 -999 9.775 55.327 18.137 99.084 0.074 511.433 -999 342.432 -999 -999 -999 -999 -999 -999 -999
2003 1 11 30 -999 -999 -999 -999 -999 9.088 54.387 18.409 99.094 0.086 544.415 -999 349.289 -999 -999 -999 -999 -999 -999 -999
2003 1 12 0 -999 -999 -999 -999 -999 8.401 53.465 18.681 99.104 0.098 577.396 -999 356.146 -999 -999 -999 -999 -999 -999 -999
2003 1 12 30 -999 -999 -999 -999 -999 8.093 52.847 18.807 99.093 0.086 518.658 -999 359.995 -999 -999 -999 -999 -999 -999 -999
2003 1 13 0 -999 -999 -999 -999 -999 7.784 52.236 18.932 99.082 0.074 459.92 -999 363.845 -999 -999 -999 -999 -999 -999 -999
2003 1 13 30 -999 -999 -999 -999 -999 7.633 53.2 18.766 99.089 0.083 425.051 -999 359.564 -999 -999 -999 -999 -999 -999 -999
2003 1 14 0 -999 -999 -999 -999 -999 7.481 54.178 18.599 99.096 0.093 390.182 -999 355.284 -999 -999 -999 -999 -999 -999 -999
2003 1 14 30 -999 -999 -999 -999 -999 7.626 54.722 18.576 99.114 0.084 355.155 -999 359.893 -999 -999 -999 -999 -999 -999 -999
2003 1 15 0 -999 -999 -999 -999 -999 7.771 55.267 18.553 99.131 0.076 320.128 -999 364.503 -999 -999 -999 -999 -999 -999 -999
2003 1 15 30 -999 -999 -999 -999 -999 7.414 56.567 18.082 99.156 0.044 274.337 -999 362.005 -999 -999 -999 -999 -999 -999 -999
2003 1 16 0 -999 -999 -999 -999 -999 7.058 57.901 17.61 99.182 0.011 228.547 -999 359.508 -999 -999 -999 -999 -999 -999 -999
2003 1 16 30 -999 -999 -999 -999 -999 7.26 59.717 17.349 99.209 0.014 195.902 -999 366.411 -999 -999 -999 -999 -999 -999 -999
2003 1 17 0 -999 -999 -999 -999 -999 7.462 61.58 17.087 99.236 0.016 163.256 -999 373.314 -999 -999 -999 -999 -999 -999 -999
2003 1 17 30 -999 -999 -999 -999 -999 7.607 62.084 16.944 99.293 0.045 110.498 -999 372.62 -999 -999 -999 -999 -999 -999 -999
2003 1 18 0 -999 -999 -999 -999 -999 7.751 62.593 16.8 99.351 0.073 57.74 -999 371.925 -999 -999 -999 -999 -999 -999 -999
2003 1 18 30 -999 -999 -999 -999 -999 7.896 62.765 16.736 99.39 0.059 42.282 -999 369.968 -999 -999 -999 -999 -999 -999 -999
2003 1 19 0 -999 -999 -999 -999 -999 8.041 62.938 16.672 99.429 0.045 26.824 -999 368.01 -999 -999 -999 -999 -999 -999 -999
2003 1 19 30 -999 -999 -999 -999 -999 7.635 66.613 15.635 99.465 0.026 15.735 -999 368.494 -999 -999 -999 -999 -999 -999 -999
2003 1 20 0 -999 -999 -999 -999 -999 7.228 70.527 14.598 99.5 0.006 4.645 -999 368.977 -999 -999 -999 -999 -999 -999 -999
2003 1 20 30 -999 -999 -999 -999 -999 7.231 70.06 14.58 99.546 0.003 2.323 -999 366.747 -999 -999 -999 -999 -999 -999 -999
2003 1 21 0 -999 -999 -999 -999 -999 7.234 69.591 14.563 99.592 -0.0 0.0 -999 364.516 -999 -999 -999 -999 -999 -999 -999
2003 1 21 30 -999 -999 -999 -999 -999 6.991 69.34 14.032 99.62 0.0 0.0 -999 358.61 -999 -999 -999 -999 -999 -999 -999
2003 1 22 0 -999 -999 -999 -999 -999 6.749 68.993 13.5 99.647 0.0 0.0 -999 352.704 -999 -999 -999 -999 -999 -999 -999
2003 1 22 30 -999 -999 -999 -999 -999 6.353 69.569 13.384 99.662 0.0 0.0 -999 343.672 -999 -999 -999 -999 -999 -999 -999
2003 1 23 0 -999 -999 -999 -999 -999 5.958 70.151 13.268 99.677 0.0 0.0 -999 334.641 -999 -999 -999 -999 -999 -999 -999
2003 1 23 30 -999 -999 -999 -999 -999 5.708 70.824 13.108 99.659 0.0 0.0 -999 324.04 -999 -999 -999 -999 -999 -999 -999
2003 2 0 0 -999 -999 -999 -999 -999 5.459 71.505 12.949 99.641 0.0 0.0 -999 313.439 -999 -999 -999 -999 -999 -999 -999
2003 2 0 30 -999 -999 -999 -999 -999 5.312 73.941 11.96 99.636 0.0 0.0 -999 307.164 -999 -999 -999 -999 -999 -999 -999
2003 2 1 0 -999 -999 -999 -999 -999 5.165 76.413 10.97 99.631 0.0 0.0 -999 300.89 -999 -999 -999 -999 -999 -999 -999
2003 2 1 30 -999 -999 -999 -999 -999 5.224 76.145 10.969 99.632 0.0 0.0 -999 301.666 -999 -999 -999 -999 -999 -999 -999
2003 2 2 0 -999 -999 -999 -999 -999 5.284 75.877 10.968 99.633 0.0 0.0 -999 302.443 -999 -999 -999 -999 -999 -999 -999
2003 2 2 30 -999 -999 -999 -999 -999 5.387 76.148 10.909 99.639 0.0 0.0 -999 298.564 -999 -999 -999 -999 -999 -999 -999
2003 2 3 0 -999 -999 -999 -999 -999 5.491 76.421 10.85 99.645 0.0 0.0 -999 294.685 -999 -999 -999 -999 -999 -999 -999
2003 2 3 30 -999 -999 -999 -999 -999 5.109 78.899 10.339 99.671 0.0 0.0 -999 292.441 -999 -999 -999 -999 -999 -999 -999
2003 2 4 0 -999 -999 -999 -999 -999 4.727 81.466 9.828 99.697 0.0 0.0 -999 290.197 -999 -999 -999 -999 -999 -999 -999
2003 2 4 30 -999 -999 -999 -999 -999 4.393 82.032 9.798 99.73 0.0 0.0 -999 290.842 -999 -999 -999 -999 -999 -999 -999
2003 2 5 0 -999 -999 -999 -999 -999 4.058 82.6 9.768 99.763 0.0 0.0 -999 291.486 -999 -999 -999 -999 -999 -999 -999
2003 2 5 30 -999 -999 -999 -999 -999 4.141 82.009 9.907 99.789 0.0 21.576 -999 289.608 -999 -999 -999 -999 -999 -999 -999
2003 2 6 0 -999 -999 -999 -999 -999 4.224 81.423 10.047 99.816 0.0 43.152 -999 287.729 -999 -999 -999 -999 -999 -999 -999
2003 2 6 30 -999 -999 -999 -999 -999 4.832 81.39 9.969 99.849 0.0 100.516 -999 296.172 -999 -999 -999 -999 -999 -999 -999
2003 2 7 0 -999 -999 -999 -999 -999 5.44 81.354 9.892 99.882 0.0 157.88 -999 304.614 -999 -999 -999 -999 -999 -999 -999
2003 2 7 30 -999 -999 -999 -999 -999 5.576 74.323 11.848 99.914 0.007 242.591 -999 310.833 -999 -999 -999 -999 -999 -999 -999
2003 2 8 0 -999 -999 -999 -999 -999 5.712 67.911 13.804 99.947 0.014 327.303 -999 317.051 -999 -999 -999 -999 -999 -999 -999
2003 2 8 30 -999 -999 -999 -999 -999 5.466 66.815 13.988 99.967 0.021 406.362 -999 324.362 -999 -999 -999 -999 -999 -999 -999
2003 2 9 0 -999 -999 -999 -999 -999 5.221 65.737 14.173 99.987 0.029 485.42 -999 331.673 -999 -999 -999 -999 -999 -999 -999
2003 2 9 30 -999 -999 -999 -999 -999 4.943 62.012 15.309 99.995 0.014 489.196 -999 339.639 -999 -999 -999 -999 -999 -999 -999
2003 2 10 0 -999 -999 -999 -999 -999 4.666 58.516 16.446 100.004 0.0 492.971 -999 347.604 -999 -999 -999 -999 -999 -999 -999
2003 2 10 30 -999 -999 -999 -999 -999 4.451 56.495 17.106 100.011 0.0 559.606 -999 356.208 -999 -999 -999 -999 -999 -999 -999
2003 2 11 0 -999 -999 -999 -999 -999 4.237 54.551 17.766 100.019 0.0 626.241 -999 364.812 -999 -999 -999 -999 -999 -999 -999
2003 2 11 30 -999 -999 -999 -999 -999 3.97 55.044 17.6 100.016 0.0 633.406 -999 362.667 -999 -999 -999 -999 -999 -999 -999
2003 2 12 0 -999 -999 -999 -999 -999 3.702 55.541 17.435 100.013 0.0 640.572 -999 360.522 -999 -999 -999 -999 -999 -999 -999
2003 2 12 30 -999 -999 -999 -999 -999 3.434 51.921 18.773 100.008 0.0 742.362 -999 361.973 -999 -999 -999 -999 -999 -999 -999
2003 2 13 0 -999 -999 -999 -999 -999 3.166 48.554 20.111 100.004 0.0 844.153 -999 363.423 -999 -999 -999 -999 -999 -999 -999
2003 2 13 30 -999 -999 -999 -999 -999 3.189 47.831 20.233 99.991 0.0 802.019 -999 349.213 -999 -999 -999 -999 -999 -999 -999
2003 2 14 0 -999 -999 -999 -999 -999 3.213 47.117 20.354 99.978 0.0 759.886 -999 335.003 -999 -999 -999 -999 -999 -999 -999
2003 2 14 30 -999 -999 -999 -999 -999 3.164 45.952 20.68 99.948 0.0 741.888 -999 347.081 -999 -999 -999 -999 -999 -999 -999
2003 2 15 0 -999 -999 -999 -999 -999 3.116 44.817 21.005 99.919 0.0 723.89 -999 359.159 -999 -999 -999 -999 -999 -999 -999
